(6621,5262)
(6932,5270)
(6624,5588)
(6939,5566)
(6617,5870)
(6943,5881)
(6588,6134)
(6892,6207)
(6511,6299)
(6764,6471)
(6394,6445)
(6588,6687)
(6232,6552)
(6350,6837)
(6012,6628)
(6075,6929)
(5804,6621)
(5785,6929)
(5595,6566)
(5514,6852)
(5437,6456)
(5250,6694)
(5331,6339)
(5064,6493)
(5236,6178)
(4939,6251)
(5192,5933)
(4873,5951)
(5214,5760)
(4895,5651)
(5280,5563)
(5020,5405)
(5448,5325)
(5181,5167)
(5591,5101)
(5338,4951)
(5745,4717)
(5448,4640)
(5782,4347)
(5489,4347)
(5734,4032)
(5452,4091)
(5591,3658)
(5316,3809)
(5379,3387)
(5151,3578)
(5133,3160)
(4939,3391)
(4906,2952)
(4719,3186)
(4719,2765)
(4503,2996)
(4477,2545)
(4283,2791)
(4243,2329)
(4030,2549)
(4027,2102)
(3807,2325)
(3781,1890)
(3580,2135)
(3466,1608)
(3279,1816)
(3246,1403)
(3063,1637)
(3026,1198)
(2858,1432)
(2774,970)
(2627,1234)
(2466,809)
(2389,1102)
(2132,732)
(2114,1047)
(1759,754)
(1814,1047)
(1403,872)
(1550,1143)
(1117,1066)
(1323,1304)
(861,1384)
(1132,1553)
(714,1721)
(1022,1794)
(652,2069)
(967,2095)
(649,2366)
(982,2358)
(707,2699)
(1022,2655)
(854,3051)
(1150,2904)
(1048,3325)
(1319,3135)
(1297,3567)
(1521,3351)
(1517,3772)
(1737,3563)
(1784,4028)
(1997,3790)
(2000,4244)
(2202,4025)
(2231,4460)
(2469,4211)
(2433,4625)
(2638,4406)
(2638,4830)
(2858,4589)
(2851,5028)
(3059,4808)
(2946,5134)
(3217,5050)
(3034,5332)
(3345,5299)
(3078,5596)
(3389,5585)
(3048,5804)
(3341,5859)
(2968,6017)
(3254,6123)
(2854,6185)
(3085,6387)
(2697,6313)
(2862,6566)
(2539,6401)
(2612,6687)
(2305,6456)
(2319,6757)
(2055,6449)
(2055,6775)
(1803,6416)
(1748,6727)
(1638,6350)
(1499,6636)
(1510,6240)
(1275,6445)
(1381,6086)
(1125,6200)
(1304,5907)
(1037,5951)
(1297,5676)
(1004,5669)
(1341,5475)
(1055,5391)
(1436,5292)
(1205,5138)
(1594,5123)
(1374,4907)
(1821,4893)
(1579,4713)
(1993,4709)
(1762,4504)
(2198,4475)
(1968,4296)
(2455,4237)
(2158,4061)
(2656,4006)
(2411,3798)
(2799,3838)
(2543,3636)
(3012,3625)
(2755,3431)
(3221,3406)
(2949,3215)
(3411,3197)
(3158,3014)
(3583,3003)
(3360,2805)
(3818,2765)
(3558,2604)
(4041,2545)
(3781,2344)
(4239,2322)
(4023,2106)
(4466,2069)
(4221,1901)
(4646,1886)
(4386,1688)
(4855,1659)
(4606,1483)
(5060,1447)
(4789,1278)
(5239,1252)
(4994,1058)
(5412,1069)
(5206,850)
(5565,970)
(5448,677)
(5738,897)
(5712,582)
(5972,872)
(5987,542)
(6152,908)
(6276,615)
(6324,996)
(6522,765)
(6470,1135)
(6727,981)
(6562,1289)
(6870,1234)
(6624,1545)
(6928,1516)
(6621,1805)
(6925,1809)
(6624,2102)
(6925,2098)
(6621,2388)
(6928,2377)
(6621,2662)
(6921,2662)
(6628,2981)
(6925,2977)
(6628,3259)
(6925,3259)
(6628,3545)
(6932,3549)
(6624,3816)
(6932,3823)
(6624,4124)
(6932,4127)
(6624,4402)
(6928,4406)
(6621,4702)
(6939,4709)
(6621,4984)
(6939,4984)
(6621,5262)
(6932,5270)
