(7221,5453,-81)
(7224,5153,-78)
(7221,4878,-80)
(7221,4589,-79)
(7221,4299,-80)
(7221,4003,-80)
(7221,3717,-78)
(7217,3428,-81)
(7221,3138,-79)
(7221,2845,-81)
(7224,2552,-78)
(7221,2267,-79)
(7217,1978,-80)
(7221,1681,-79)
(7191,1359,-68)
(7083,1044,-52)
(6886,769,-37)
(6611,553,-19)
(6295,425,-3)
(5971,388,12)
(5640,443,28)
(5332,586,44)
(5075,795,55)
(4848,1029,56)
(4648,1238,57)
(4451,1443,56)
(4250,1652,58)
(4053,1864,58)
(3845,2084,56)
(3614,2325,56)
(3398,2545,56)
(3186,2769,57)
(2986,2977,56)
(2785,3190,57)
(2588,3398,57)
(2394,3600,57)
(2209,3790,56)
(1993,4017,56)
(1770,4255,57)
(1569,4468,57)
(1368,4673,57)
(1167,4896,59)
(985,5153,71)
(863,5460,88)
(837,5775,103)
(900,6105,117)
(1041,6401,135)
(1264,6647,148)
(1554,6830,167)
(1881,6918,-178)
(2205,6936,-170)
(2521,6907,-159)
(2841,6804,-145)
(3131,6621,-130)
(3365,6372,-113)
(3517,6086,-100)
(3595,5779,-87)
(3599,5453,-72)
(3521,5142,-59)
(3369,4852,-45)
(3149,4592,-35)
(2930,4384,-31)
(2725,4197,-33)
(2506,4014,-26)
(2272,3809,-39)
(2049,3571,-36)
(1800,3333,-33)
(1580,3131,-33)
(1398,2941,-40)
(1283,2758,-52)
(1201,2523,-69)
(1167,2256,-76)
(1179,2003,-88)
(1246,1761,-102)
(1376,1542,-117)
(1550,1377,-136)
(1762,1267,-148)
(1985,1219,-168)
(2220,1238,180)
(2432,1318,160)
(2644,1472,149)
(2859,1659,147)
(3067,1853,144)
(3279,2051,149)
(3540,2278,145)
(3822,2542,142)
(4071,2783,146)
(4324,3007,146)
(4529,3201,146)
(4763,3413,147)
(4975,3611,146)
(5157,3801,140)
(5280,4003,123)
(5354,4230,112)
(5362,4468,93)
(5306,4720,83)
(5202,4940,66)
(5045,5156,65)
(4889,5413,74)
(4796,5739,92)
(4796,6090,107)
(4889,6405,125)
(5072,6683,139)
(5332,6910,157)
(5666,7061,174)
(5997,7104,-171)
(6336,7061,-153)
(6633,6929,-138)
(6897,6709,-123)
(7102,6416,-103)
(7195,6094,-89)
(7221,5757,-80)
