(3902,385)
(3911,707)
(3483,385)
(3492,707)
(3101,385)
(3101,707)
(2775,385)
(2784,707)
(2393,385)
(2393,707)
(2049,395)
(2049,707)
(1639,385)
(1620,716)
(1239,395)
(1211,707)
(922,395)
(941,707)
(577,523)
(754,762)
(345,688)
(587,909)
(186,973)
(494,1019)
(112,1184)
(428,1202)
(112,1560)
(428,1560)
(112,1900)
(428,1927)
(112,2276)
(428,2285)
(112,2606)
(428,2634)
(112,2973)
(428,2973)
(112,3258)
(419,3258)
(177,3570)
(456,3460)
(298,3836)
(559,3689)
(540,4102)
(754,3873)
(801,4277)
(959,4020)
(1145,4396)
(1164,4093)
(1583,4396)
(1583,4093)
(1956,4405)
(1965,4093)
(2356,4414)
(2356,4111)
(2701,4423)
(2701,4111)
(3120,4414)
(3120,4102)
(3539,4414)
(3539,4102)
(3939,4414)
(3930,4111)
(4423,4203)
(4237,3983)
(4693,3854)
(4414,3753)
(4768,3487)
(4461,3478)
(4684,3129)
(4423,3267)
(4479,2836)
(4265,3047)
(4237,2606)
(4014,2799)
(4032,2459)
(3846,2634)
(3809,2230)
(3585,2432)
(3595,2010)
(3362,2221)
(3362,1799)
(3148,2001)
(3185,1624)
(2989,1835)
(2915,1340)
(2682,1551)
(2421,1184)
(2421,1459)
(1900,1303)
(2067,1560)
(1555,1679)
(1835,1799)
(1453,1991)
(1769,2028)
(1443,2386)
(1760,2386)
(1443,2762)
(1760,2753)
(1546,3056)
(1797,2918)
(1704,3322)
(1956,3120)
(2077,3561)
(2216,3276)
(2533,3634)
(2542,3322)
(3027,3451)
(2831,3221)
(3297,3194)
(3073,2973)
(3529,2973)
(3278,2762)
(3623,2872)
(3380,2661)
(3846,2634)
(3585,2432)
(4032,2432)
(3818,2221)
(4293,2175)
(4060,1973)
(4591,1863)
(4349,1661)
(4768,1404)
(4461,1349)
(4656,890)
(4386,1046)
(4386,578)
(4172,789)
(3902,385)
(3911,707)
