(3986,909,171)
(4163,1019,138)
(4256,1211,110)
(4237,1432,82)
(4107,1652,55)
(3911,1854,57)
(3753,2028,63)
(3595,2175,52)
(3371,2395,59)
(3148,2643,54)
(2878,2918,53)
(2645,3093,33)
(2421,3120,3)
(2198,3047,-17)
(2039,2918,-34)
(1974,2799,-42)
(1956,2606,-79)
(1956,2248,-82)
(1974,1973,-87)
(2067,1826,-122)
(2272,1698,-154)
(2496,1679,178)
(2710,1817,139)
(2933,2047,150)
(3120,2221,143)
(3343,2432,145)
(3576,2643,143)
(3790,2845,148)
(4004,3038,141)
(4200,3249,135)
(4265,3396,114)
(4265,3570,90)
(4191,3744,63)
(4032,3864,38)
(3762,3919,9)
(3371,3919,8)
(2961,3928,7)
(2570,3928,9)
(2207,3919,7)
(1816,3909,9)
(1425,3909,8)
(1117,3882,-2)
(959,3799,-23)
(810,3662,-29)
(689,3496,-50)
(643,3331,-55)
(624,3139,-77)
(624,2836,-78)
(615,2496,-80)
(615,2147,-81)
(615,1790,-82)
(615,1432,-82)
(643,1175,-81)
(689,1074,-99)
(773,991,-120)
(894,918,-139)
(1062,881,-167)
(1378,872,-176)
(1797,872,-175)
(2188,872,-175)
(2552,881,-174)
(2915,881,-173)
(3259,881,-173)
(3660,881,-176)
