(4076,943,171),(4257,1057,138),(4352,1257,110),(4333,1486,82),
(4200,1714,55),(4000,1924,57),(3838,2105,63),(3676,2257,52),
(3448,2486,59),(3219,2743,54),(2943,3029,53),(2705,3210,33),
(2476,3238,3),(2248,3162,-17),(2086,3029,-34),(2019,2905,-42),
(2000,2705,-79),(2000,2333,-82),(2019,2048,-87),(2114,1895,-122),
(2324,1762,-154),(2552,1743,178),(2771,1886,139),(3000,2124,150),
(3190,2305,143),(3419,2524,145),(3657,2743,143),(3876,2952,148),
(4095,3152,141),(4295,3371,135),(4362,3524,114),(4362,3705,90),
(4286,3886,63),(4124,4010,38),(3848,4067,9),(3448,4067,8),
(3029,4076,7),(2629,4076,9),(2257,4067,7),(1857,4057,9),
(1457,4057,8),(1143,4029,-2),(981,3943,-23),(829,3800,-29),
(705,3629,-50),(657,3457,-55),(638,3257,-77),(638,2943,-78),
(629,2590,-80),(629,2229,-81),(629,1857,-82),(629,1486,-82),
(657,1219,-81),(705,1114,-99),(790,1029,-120),(914,952,-139),
(1086,914,-167),(1410,905,-176),(1838,905,-175),(2238,905,-175),
(2610,914,-174),(2981,914,-173),(3333,914,-173),(3743,914,-176),
